frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
294,15.212,6465,5731,17859,18554,734
295,15.264,6532,5942,19349,18578,590
296,15.316,5988,5894,17758,18254,94
297,15.367,6450,5791,18989,18560,659
298,15.419,5431,5840,19536,18416,-409
299,15.471,5972,5852,18230,18542,120
300,15.523,6736,5864,18673,18572,872
301,15.574,6131,5979,19059,18404,152
302,15.626,6525,5876,18793,18494,649
303,15.678,5917,5852,18492,18212,65
304,15.73,6054,5816,18744,18272,238
305,15.781,5892,5725,19841,18332,167
306,15.833,6931,5604,18760,18254,1327
307,15.885,5984,5791,17912,18752,193
308,15.937,7363,5622,18501,18542,1741
309,15.988,6030,5761,19029,18446,269
310,16.04,6513,5634,18654,18668,879
311,16.092,6666,5659,19551,18680,1007
312,16.144,5530,5719,18635,18302,-189
313,16.195,5344,5828,17831,18470,-484
314,16.247,6213,5888,19250,18140,325
315,16.299,5903,5767,19792,18296,136
316,16.35,5576,5840,18454,18266,-264
317,16.402,5925,5749,18002,18308,176
318,16.454,5664,5948,18134,18464,-284
319,16.506,6304,5852,19014,18398,452
320,16.557,6263,5695,19592,18398,568
321,16.609,6604,5677,18497,18614,927
322,16.661,6489,5773,18949,18248,716
323,16.713,7490,5701,18362,18554,1789
324,16.764,6212,5665,18833,18206,547
325,16.816,7412,5779,17481,18224,1633
326,16.868,6559,5707,19261,18392,852
327,16.92,6632,5749,18392,18260,883
328,16.971,6358,5713,18976,18056,645
329,17.023,6186,5822,19157,18398,364
330,17.075,6497,5779,18646,18644,718
331,17.127,6763,5695,18374,18566,1068
332,17.178,6583,5713,18829,18440,870
333,17.23,6647,5592,18954,18536,1055
334,17.282,7295,5683,19216,18386,1612
335,17.334,7091,5791,17932,18560,1300
336,17.385,7202,5737,18271,18338,1465
337,17.437,7665,5779,18619,18314,1886
338,17.489,7916,5967,18446,18512,1949
339,17.541,7349,5828,17849,18506,1521
340,17.592,7362,5798,18856,18554,1564
341,17.644,7245,5773,17660,18542,1472
342,17.696,7308,5749,18446,18272,1559
343,17.748,5973,5671,19176,18440,302
344,17.799,6746,5864,19171,18398,882
345,17.851,7951,5640,18029,18524,2311
346,17.903,5790,5743,18086,18422,47
