frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
547,28.303,16063,11747,76366,80796,4316
548,28.355,14154,11735,76971,81014,2419
549,28.406,14184,11874,77311,80160,2310
550,28.458,14643,11458,78288,80851,3185
551,28.51,15236,11500,75125,81008,3736
552,28.562,17335,12055,75090,79348,5280
553,28.613,19783,12085,76371,80330,7698
554,28.665,17879,11826,76957,81644,6053
555,28.717,15792,11814,75661,80275,3978
556,28.769,16477,12079,76339,80263,4398
557,28.82,16299,12061,75944,81311,4238
558,28.872,15645,11723,77567,80499,3922
559,28.924,15075,11783,76926,81535,3292
560,28.976,15049,12043,78671,81432,3006
561,29.027,14253,12024,77573,79433,2229
562,29.079,15030,12097,75301,81717,2933
563,29.131,14002,11988,76345,79912,2014
564,29.182,16335,11597,76467,80911,4738
565,29.234,15685,11988,78273,80596,3697
566,29.286,16163,11802,78196,80972,4361
567,29.338,15001,11609,78632,79990,3392
568,29.389,14650,11573,75205,81608,3077
569,29.441,16779,12024,78441,79948,4755
570,29.493,16029,12043,76206,80772,3986
571,29.545,14983,11530,78799,81371,3453
572,29.596,14175,11591,79421,80657,2584
573,29.648,14290,11820,80583,79948,2470
574,29.7,15911,11536,79105,80814,4375
575,29.752,15750,11898,76793,80499,3852
576,29.803,15800,12073,77004,80996,3727
577,29.855,15964,11820,77321,80596,4144
578,29.907,15521,11910,77174,80378,3611
579,29.959,15701,11862,79531,81268,3839
580,30.01,16315,11826,79016,80675,4489
581,30.062,15666,11958,77276,81202,3708
582,30.114,14896,11422,75229,80602,3474
583,30.166,15158,11735,76489,80754,3423
584,30.217,15425,11916,76293,80626,3509
585,30.269,15539,11627,78241,80699,3912
586,30.321,14453,11874,75069,81517,2579
587,30.373,16472,12121,76942,80826,4351
588,30.424,14806,11808,75891,79748,2998
589,30.476,16698,11717,76899,80233,4981
590,30.528,16059,11856,78218,80039,4203
591,30.58,14961,12000,79823,81656,2961
592,30.631,17051,12151,77740,80469,4900
593,30.683,17289,12067,76968,79027,5222
594,30.735,16659,12073,76916,80814,4586
595,30.786,15791,12145,78007,80651,3646
596,30.838,15700,11687,77241,80190,4013
597,30.89,16385,11765,78193,80754,4620
598,30.942,15199,11826,78229,80590,3373
599,30.993,15682,12024,77306,81147,3658
600,31.045,14797,11410,74809,79887,3387
601,31.097,15559,11536,73560,79760,4023
602,31.149,15520,11452,77080,80560,4068
603,31.2,15599,11470,78136,80578,4129
604,31.252,16426,11705,77074,79094,4721
605,31.304,16673,11820,75276,79887,4853
606,31.356,15562,11711,75174,79978,3851
607,31.407,15505,11603,76741,80469,3902
608,31.459,15251,11591,74970,79367,3660
609,31.511,16425,11717,75414,81002,4708
610,31.563,15831,11687,73484,79464,4144
611,31.614,15544,11458,76772,81026,4086
612,31.666,15974,11657,72836,81214,4317
613,31.718,16546,11621,76257,80330,4925
614,31.77,16867,11506,75583,79040,5361
615,31.821,15707,11681,77220,80051,4026
616,31.873,17073,11790,76639,78779,5283
617,31.925,17342,11536,77181,80354,5806
618,31.977,17686,11524,78338,79772,6162
619,32.028,16431,11488,76506,80245,4943
620,32.08,18326,11639,79234,79373,6687
621,32.132,16497,11657,75845,79361,4840
622,32.184,17566,11627,76133,79621,5939
623,32.235,16115,11603,78481,80172,4512
624,32.287,17416,11657,79042,78961,5759
625,32.339,17220,11940,74810,79676,5280
626,32.39,17244,11808,76578,79397,5436
627,32.442,16987,11717,77710,79621,5270
628,32.494,17155,11536,77654,80414,5619
629,32.546,17077,11687,77506,79124,5390
630,32.597,15383,11777,76443,79252,3606
631,32.649,15301,11633,74660,80081,3668
632,32.701,17506,11518,78816,81371,5988
633,32.753,16111,11512,80614,79470,4599
634,32.804,15739,11482,76538,78791,4257
635,32.856,16900,11711,78840,79918,5189
636,32.908,16348,11573,77565,78670,4775
637,32.96,16162,11717,74746,80863,4445
638,33.011,15633,11747,76874,79070,3886
639,33.063,16744,11416,76822,79270,5328
640,33.115,14585,11549,76426,80124,3036
641,33.167,16686,11103,78176,80009,5583
642,33.218,16065,11350,78348,79136,4715
643,33.27,16794,11850,76848,79324,4944
644,33.322,15940,11350,76206,79639,4590
645,33.374,17311,11302,77691,78622,6009
646,33.425,15453,11609,76680,79603,3844
647,33.477,16545,11181,77615,79809,5364
648,33.529,15855,11314,77646,78603,4541
649,33.581,15671,11422,77636,77374,4249
650,33.632,15994,11229,77890,79912,4765
651,33.684,16259,11410,75451,79373,4849
652,33.736,16028,11615,78772,79136,4413
653,33.788,16610,11332,78310,78949,5278
654,33.839,15721,10880,76661,79942,4841
655,33.891,17761,11241,73917,79294,6520
656,33.943,17322,11356,77875,78967,5966
657,33.994,17226,11235,77303,79409,5991
658,34.046,15974,11398,78333,79306,4576
659,34.098,14968,11073,77463,79694,3895
660,34.15,15765,11458,76152,79797,4307
661,34.201,17072,11410,79348,79990,5662
662,34.253,15606,11133,75730,80596,4473
663,34.305,16621,11175,74083,79772,5446
