frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
546,28.251,7891,7352,23473,23954,539
547,28.303,7188,7280,25001,24045,-92
548,28.355,7611,7250,23678,24394,361
549,28.406,7411,7220,24059,24726,191
550,28.458,6952,7334,25622,24189,-382
551,28.51,7269,7142,24781,24093,127
552,28.562,7051,7040,22683,24214,11
553,28.613,7926,7412,24080,24425,514
554,28.665,7026,7352,22980,24268,-326
555,28.717,7640,7286,23565,24461,354
556,28.769,7337,7016,23927,24521,321
557,28.82,7304,7112,25369,24274,192
558,28.872,6862,7112,23241,23972,-250
559,28.924,7918,7262,23930,24208,656
560,28.976,7628,7322,24699,24153,306
561,29.027,7336,7238,24583,24105,98
562,29.079,6814,7232,22626,24003,-418
563,29.131,7345,7280,23556,24479,65
564,29.182,7252,7100,24602,24232,152
565,29.234,7250,7094,25451,24328,156
566,29.286,7078,7310,25480,24171,-232
567,29.338,7556,7130,24205,24316,426
568,29.389,8077,7298,22121,24617,779
569,29.441,7018,7292,23443,24630,-274
570,29.493,8278,7262,23457,24533,1016
571,29.545,7856,7166,24054,24720,690
572,29.596,7401,7100,25142,24208,301
573,29.648,6876,7052,22251,24545,-176
574,29.7,6752,7226,23507,24069,-474
575,29.752,7443,6992,23795,24714,451
576,29.803,8038,7154,23584,24202,884
577,29.855,7029,7232,25374,24310,-203
578,29.907,6765,7280,24622,24226,-515
579,29.959,7544,7256,24108,24467,288
580,30.01,7252,7292,24496,24226,-40
581,30.062,7662,7274,24977,24810,388
582,30.114,8206,7046,25085,24461,1160
583,30.166,7102,7256,23987,24039,-154
584,30.217,8110,7202,24839,24786,908
585,30.269,7085,7046,22965,24388,39
586,30.321,7811,7100,24336,24352,711
587,30.373,7331,7136,23762,24527,195
588,30.424,7767,7112,24688,24485,655
589,30.476,7584,7178,24170,24316,406
590,30.528,7596,7028,24471,24298,568
591,30.58,6887,7142,24935,24250,-255
592,30.631,7021,7082,25151,24189,-61
593,30.683,7116,7190,23399,24003,-74
594,30.735,7571,7124,23307,24515,447
595,30.786,7172,7190,22827,24135,-18
596,30.838,7666,7124,23318,24437,542
597,30.89,7326,7292,23849,24232,34
598,30.942,7324,7226,25264,24533,98
599,30.993,7711,7064,23666,24298,647
600,31.045,8713,7178,24773,23960,1535
601,31.097,9147,7100,23600,24274,2047
602,31.149,9652,7334,24294,24388,2318
603,31.2,9559,7310,25438,24220,2249
604,31.252,8966,7274,22783,24413,1692
605,31.304,10109,7328,25556,24666,2781
606,31.356,7018,7322,23510,24105,-304
607,31.407,7988,7070,24950,24503,918
608,31.459,11260,7364,23269,24533,3896
609,31.511,10556,7268,23219,24117,3288
610,31.563,11525,7304,23710,24400,4221
611,31.614,9809,7244,24574,24153,2565
612,31.666,9795,7220,23319,24256,2575
613,31.718,8686,7244,24310,24214,1442
614,31.77,10027,7022,23574,24509,3005
615,31.821,11413,7190,22804,24340,4223
616,31.873,10704,7190,23976,24340,3514
617,31.925,10174,7154,24613,24069,3020
618,31.977,10000,7124,24950,24232,2876
619,32.028,11018,7172,24723,24274,3846
620,32.08,10480,7262,24519,24425,3218
621,32.132,9096,7268,26451,24557,1828
622,32.184,10600,7160,22778,24099,3440
623,32.235,10181,7082,23996,24491,3099
624,32.287,9758,7304,23360,24515,2454
625,32.339,9776,7196,23958,24599,2580
626,32.39,7396,7118,23830,24099,278
627,32.442,7293,7274,23193,23906,19
628,32.494,7748,7358,24108,24159,390
629,32.546,7166,7112,22395,24473,54
630,32.597,7164,7250,24400,24328,-86
631,32.649,7400,7334,25582,24244,66
632,32.701,7168,7226,24849,24587,-58
633,32.753,7310,7268,24238,24220,42
634,32.804,6729,7286,23814,24527,-557
635,32.856,7344,7214,23882,24189,130
636,32.908,7701,7244,25479,24280,457
637,32.96,7645,7160,23363,24256,485
638,33.011,7317,7124,22615,24684,193
639,33.063,7532,7412,24026,24515,120
640,33.115,7149,7166,25221,24877,-17
641,33.167,7254,7046,23699,24533,208
642,33.218,7443,7358,22824,24292,85
643,33.27,7542,7052,24071,24623,490
644,33.322,7520,7178,24080,24220,342
645,33.374,7269,7220,23545,24539,49
646,33.425,7272,7160,23907,24208,112
647,33.477,7442,7076,24968,24159,366
648,33.529,7693,7130,24757,23737,563
649,33.581,7905,7160,24096,24509,745
650,33.632,7068,7052,24808,23948,16
651,33.684,7798,7226,24881,24413,572
652,33.736,8135,7238,24225,24177,897
653,33.788,7759,7070,24663,24443,689
654,33.839,7117,7142,23828,24515,-25
655,33.891,7718,7148,25862,24352,570
656,33.943,7277,7100,24642,24684,177
657,33.994,7023,7100,24582,24304,-77
658,34.046,7743,7292,24490,24527,451
659,34.098,7310,7328,25017,24708,-18
660,34.15,7574,7286,23536,24159,288
661,34.201,7291,7262,23232,24672,29
662,34.253,6681,7346,23739,24316,-665
663,34.305,7746,7497,25390,24551,249
664,34.357,7367,7274,22761,24292,93
665,34.408,7582,7256,24073,24840,326
666,34.46,7472,7304,24625,24690,168
667,34.512,7041,7094,24355,24708,-53
668,34.564,6757,7292,23330,24045,-535
669,34.615,7078,7166,24011,24382,-88
670,34.667,7407,7286,25461,24400,121
671,34.719,7493,7124,24858,24171,369
672,34.771,8309,7196,22911,24310,1113
673,34.822,7388,7142,24183,24539,246
674,34.874,7235,7184,25151,24045,51
675,34.926,7645,7124,23870,24244,521
