frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
217,11.228,7874,8011,31431,32704,-137
218,11.28,8060,8048,33350,32109,12
219,11.331,8174,8121,32288,32406,53
220,11.383,7853,7950,31802,32145,-97
221,11.435,8249,8042,33477,32072,207
222,11.487,7957,8060,33688,32005,-103
223,11.538,7974,8188,31669,32139,-214
224,11.59,8159,8023,32023,32188,136
225,11.642,7857,7859,31199,32206,-2
226,11.694,7549,8115,33496,32127,-566
227,11.745,8759,8109,32673,32254,650
228,11.797,8611,8194,32555,32145,417
229,11.849,8539,8285,31671,32236,254
230,11.901,8712,7944,33700,32157,768
231,11.952,7504,8005,33287,31537,-501
232,12.004,8358,8054,34144,32017,304
233,12.056,8925,8224,32734,32102,701
234,12.108,8122,8121,31796,32224,1
235,12.159,7963,8188,32883,32072,-225
236,12.211,8233,8078,32276,32285,155
237,12.263,7519,8157,32716,32838,-638
238,12.315,8114,7999,31005,32036,115
239,12.366,8324,8109,30879,32145,215
240,12.418,7928,8151,33785,32504,-223
241,12.47,8174,8011,32733,31799,163
242,12.522,8456,7932,32358,32151,524
243,12.573,8404,8017,32872,32133,387
244,12.625,8519,8121,32848,32206,398
245,12.677,8570,8224,31938,32649,346
246,12.729,7868,7969,32115,32570,-101
247,12.78,8469,8176,33660,32096,293
248,12.832,8671,7950,32325,32619,721
249,12.884,7813,8127,31818,32309,-314
250,12.935,8273,8176,33043,32096,97
251,12.987,7887,8194,30960,32030,-307
252,13.039,7234,7987,33555,32109,-753
253,13.091,7845,8109,31674,32175,-264
254,13.142,7997,7999,31561,32048,-2
255,13.194,7592,8060,31826,32406,-468
256,13.246,8236,8157,32317,32078,79
257,13.298,8904,8072,32102,31823,832
258,13.349,7505,8054,33274,32194,-549
259,13.401,8654,8164,32225,32419,490
260,13.453,8262,7889,32046,32194,373
261,13.505,8226,8072,32598,32376,154
262,13.556,8623,8261,31549,32419,362
263,13.608,7554,8164,32534,32346,-610
264,13.66,8940,8036,33191,32133,904
265,13.712,7813,8097,32535,31926,-284
266,13.763,7665,8279,32271,31932,-614
267,13.815,8197,8133,32828,31932,64
268,13.867,8755,8164,33526,32054,591
269,13.919,8639,8036,30855,32303,603
270,13.97,7847,7956,32654,32260,-109
271,14.022,7969,7944,33516,32181,25
272,14.074,8487,8182,32084,32716,305
273,14.126,7556,8164,33823,32522,-608
274,14.177,8422,8103,33625,32175,319
275,14.229,7822,8139,32973,32388,-317
276,14.281,8341,8121,33001,32352,220
277,14.333,8405,8170,35279,32072,235
278,14.384,7684,7932,31884,32461,-248
279,14.436,7557,7963,32957,32589,-406
280,14.488,7546,8066,32930,32181,-520
281,14.54,8202,8151,35051,31993,51
282,14.591,7524,8054,33697,32133,-530
283,14.643,7903,8121,32812,32242,-218
284,14.695,8757,7950,31941,31975,807
285,14.746,8251,8127,33251,32631,124
286,14.798,7339,8103,31512,32042,-764
287,14.85,6859,7816,32031,32218,-957
288,14.902,8619,7963,32450,32072,656
289,14.953,8705,8103,32194,32285,602
290,15.005,7909,8054,32782,32479,-145
291,15.057,8324,7877,31852,32321,447
292,15.109,8064,8115,32829,32540,-51
293,15.16,7847,7999,32559,32127,-152
294,15.212,7626,8328,32649,32096,-702
295,15.264,8107,8255,33169,31549,-148
296,15.316,7858,8017,33650,32175,-159
297,15.367,8214,8273,32739,32388,-59
298,15.419,8214,8413,31433,32188,-199
299,15.471,8009,8127,32749,31859,-118
300,15.523,7548,7932,32634,31993,-384
301,15.574,8407,8011,32380,32400,396
302,15.626,8018,8023,33169,32449,-5
303,15.678,8656,8188,29891,32479,468
304,15.73,8189,7859,33229,32613,330
305,15.781,8452,8212,32775,31932,240
306,15.833,7169,8011,32958,32230,-842
307,15.885,8053,8066,33529,32382,-13
308,15.937,8631,8200,33271,32066,431
309,15.988,7869,8170,33801,31908,-301
310,16.04,7916,8103,34467,32084,-187
311,16.092,8083,8060,33656,32285,23
312,16.144,7933,8255,34440,32206,-322
313,16.195,7647,7871,32518,31908,-224
314,16.247,8427,8237,33909,32303,190
315,16.299,8109,8066,32738,32449,43
316,16.35,8036,8030,32987,32127,6
317,16.402,7820,8005,33468,32540,-185
318,16.454,8255,8182,32821,32212,73
319,16.506,8058,8030,33177,32498,28
320,16.557,8498,8011,33566,32121,487
321,16.609,8395,8121,33364,32570,274
322,16.661,7900,8127,32103,32528,-227
323,16.713,8047,8036,31264,32558,11
324,16.764,8036,8084,31259,32115,-48
325,16.816,8839,8285,32144,32583,554
326,16.868,8929,8084,34838,32297,845
327,16.92,8181,8048,32606,32613,133
328,16.971,8204,8139,32511,32218,65
329,17.023,7995,8023,31496,32017,-28
330,17.075,7777,8267,32466,31944,-490
331,17.127,8170,8048,32559,32844,122
332,17.178,8820,8249,34048,32735,571
333,17.23,8485,8450,33136,32036,35
334,17.282,8257,8328,33143,32425,-71
335,17.334,7695,8304,31130,32169,-609
336,17.385,7692,8279,33193,32218,-587
337,17.437,8261,8267,32622,32084,-6
338,17.489,8335,8011,31239,32491,324
339,17.541,8059,8133,33476,32370,-74
340,17.592,7599,8023,31436,31738,-424
341,17.644,8607,8164,31742,32133,443
342,17.696,7943,8218,33795,32060,-275
343,17.748,8442,8194,31501,32358,248
344,17.799,8069,8182,32024,32631,-113
