1648,7.02,20.74,281.45,5405,0,0
1649,7.02,20.74,281.45,5170,0,0
1650,7.02,20.74,281.45,5433,0,0
1651,7.02,20.74,281.45,5317,0,0
1652,7.02,20.74,281.45,5452,0,0
1653,7.02,20.74,281.45,5268,0,0
1654,7.02,20.74,281.45,5742,35,35
1655,7.02,20.74,281.45,5896,52,52
1656,7.02,20.74,281.45,5358,0,0
1657,7.02,20.74,281.45,4999,0,0
1658,7.02,20.74,281.45,5079,0,0
1659,7.02,20.74,281.45,5718,132,132
1660,7.02,20.74,281.45,4896,0,0
1661,7.02,20.74,281.45,6218,244,244
1662,7.02,20.74,281.45,5890,125,125
1663,7.02,20.74,281.45,5690,162,162
1664,7.02,20.74,281.45,5142,0,0
1665,7.02,20.74,281.45,5755,0,0
1666,7.02,20.74,281.45,4609,0,0
1667,7.02,20.74,281.45,5646,0,0
1668,7.02,20.74,281.45,5556,0,0
1669,7.02,20.74,281.45,5895,96,96
1670,7.02,20.74,281.45,5135,0,0
1671,7.02,20.74,281.45,5767,37,37
1672,7.02,20.74,281.45,5169,0,0
1673,7.02,20.74,281.45,5007,0,0
1674,7.02,20.74,281.45,4756,0,0
1675,7.02,20.74,281.45,5297,0,0
1676,7.02,20.74,281.45,4952,0,0
1677,7.02,20.74,281.45,5762,14,14
1678,7.02,20.74,281.45,5927,176,176
1679,7.02,20.74,281.45,5723,139,139
1680,7.02,20.74,281.45,5444,47,47
1681,7.02,20.74,281.45,5490,63,63
1682,7.02,20.74,281.45,5450,0,0
1683,7.02,20.74,281.45,4834,0,0
1684,7.02,20.74,281.45,5185,0,0
1685,7.02,20.74,281.45,5595,0,0
1686,7.02,20.74,281.45,5744,146,146
1687,7.02,20.74,281.45,5450,0,0
1688,7.02,20.74,281.45,5271,0,0
1689,7.02,20.74,281.45,5235,0,0
1690,7.02,20.74,281.45,5205,0,0
1691,7.02,20.74,281.45,5398,0,0
1692,7.02,20.74,281.45,5395,0,0
1693,7.02,20.74,281.45,5682,64,64
1694,7.02,20.74,281.45,5460,0,0
1695,7.02,20.74,281.45,6002,88,88
1696,7.02,20.74,281.45,5879,153,153
1697,7.02,20.74,281.45,5269,0,0
1698,7.02,20.74,281.45,4691,0,0
1699,7.02,20.74,281.45,5297,0,0
1700,7.02,20.74,281.45,5398,0,0
1701,7.02,20.74,281.45,5382,0,0
1702,7.02,20.74,281.45,5748,0,0
1703,7.02,20.74,281.45,5918,129,129
1704,7.02,20.74,281.45,5387,0,0
1705,7.02,20.74,281.45,5920,135,135
1706,7.02,20.74,281.45,5784,10,10
1707,7.02,20.74,281.45,5269,0,0
1708,7.02,20.74,281.45,5612,27,27
1709,7.02,20.74,281.45,5119,0,0
1710,7.02,20.74,281.45,5441,31,31
1711,7.02,20.74,281.45,5568,7,7
1712,7.02,20.74,281.45,6146,102,102
1713,7.02,20.74,281.45,5633,0,0
1714,7.02,20.74,281.45,5652,0,0
1715,7.02,20.74,281.45,5559,0,0
1716,7.02,20.74,281.45,5315,0,0
1717,7.02,20.74,281.45,5623,0,0
1718,7.02,20.74,281.45,5884,0,0
1719,7.02,20.74,281.45,5675,0,0
1720,7.02,20.74,281.45,5739,0,0
1721,7.02,20.74,281.45,5485,92,92
